id;muscle_group_en;muscle_group_fr
5599a2ea-8766-48a8-86d9-9d93c83edf45;Shoulders;Épaules
55b9b5fb-ad7c-40f6-8d95-112e073f372f;Chest;Pectoraux
55d2ebbf-ca85-4972-bcd7-53057d7c5002;Legs;Jambes
575654b9-b924-44d8-86eb-0dd281a5c32e;Legs;Jambes
58d0df19-54df-41e3-a821-e4f807686951;Full body;Corps complet
58d1dbfd-80b9-4aa8-b29b-7c5ba55697ce;Shoulders;Épaules
59a5d41a-d7e3-4a58-b110-be5e508a8a85;Chest;Pectoraux
5a7dd6a8-87ca-4812-bdd6-26b2ff28bce3;Full body;Corps complet
5b836b92-c93d-4ff4-8473-704009b12146;Shoulders;Épaules
5c3e72e4-55c1-49ef-8a4d-6f19fe2493aa;Core;Abdos
5c7aee14-1d7f-47d3-ae6a-950e68db13ce;Full body;Corps complet
5c9e6759-cb83-4f9e-9812-4c60775b4c80;Arms;Bras
5ce9e68e-acbd-444b-aff4-9a8b7e09c839;Legs;Jambes
5d1a3d59-17b9-4dfe-9600-87b4d8da6af6;Legs;Jambes
5da7f38a-a471-4562-a698-e43c48ab1795;Legs;Jambes
5ec365de-672c-40d3-be17-28004087e38d;Chest;Pectoraux
5f27f2e7-fb3f-4809-92c2-c54f94f68d63;Shoulders;Épaules
5f38a560-2a75-444b-9b7e-810b70120939;Back;Dos
5f7b9683-4b3a-4639-8880-28899923aafc;Legs;Jambes
604c9d43-9fc0-47c8-b540-6b59e795377d;Legs;Jambes
61363933-2797-42f2-a302-f0dbd1f2538e;Back;Dos
61aa7e5e-714d-4dc3-9059-cba62f69a583;Back;Dos
63bb673d-8170-49f3-9f0f-f1c8da83a4ad;Back;Dos
65035791-ed22-43d7-86c2-e387a265b448;Legs;Jambes
65d3b24b-d970-4ef6-90a9-66584a9e35e5;Legs;Jambes
65dba642-044f-4a88-9cd4-e9b57a7f6c80;Chest;Pectoraux
66010524-fa6c-4956-b11e-99d47284b56b;Core;Abdos
66257dca-2a3b-42b8-b529-5b5544a76e65;Arms;Bras
66392ea2-ff82-488a-b2f1-802f6c3df7f1;Shoulders;Épaules
6732f99d-b165-4c27-91c4-af48786c886c;Chest;Pectoraux
67d1525a-5237-433c-a969-2ad2ee00254c;Legs;Jambes
6916dbd4-61a8-4fc2-8e22-21917c6320dd;Shoulders;Épaules
6997b03e-d96b-42d4-b9d6-3b3dbfcce869;Shoulders;Épaules
69cc7c50-dc46-4442-a2f7-b6fba67f43a3;Core;Abdos
6a1c2a08-88e0-4ca1-920a-9c1c7951e58a;Arms;Bras
6b96fdf5-0739-40ba-b0bb-4eba24de8705;Back;Dos
6ca51ae0-6293-4b33-a327-3cab1fe48471;Legs;Jambes
6cb3593f-6b9b-454b-bef0-cb1762838256;Back;Dos
6d51c565-852f-408c-a10d-05e9066bda0e;Full body;Corps complet
6d902420-838d-414a-bda1-4077f8c6c45d;Shoulders;Épaules
6ddc3657-62ca-49dc-bb9a-95b731561bc5;Arms;Bras
6ef327d1-c93a-4407-bc14-6ac5b5186490;Chest;Pectoraux
6f63cdaa-8872-4bca-b6e2-6dfe85ea213a;Shoulders;Épaules
703f75ba-b467-4985-823c-1633251e89e0;Legs;Jambes
705c75e8-9123-4a55-8bc2-6c04c3ba704b;Legs;Jambes
712f5c0a-f1e1-4b91-8744-eda18f623826;Full body;Corps complet
745fc8dd-4259-40e9-b06c-627a52898f31;Legs;Jambes
74949066-152b-4289-bf43-40c2418fb34c;Full body;Corps complet
74dbf450-bee7-4afd-a682-6958d7ee93fa;Full body;Corps complet
767d4d01-ef4d-4261-a9d2-c59c517aa4ec;Arms;Bras
76a159f8-6b23-4f4a-80d3-175ebe7aca29;Shoulders;Épaules
77581e7f-ffc1-4a87-b099-34a2fc9a8b09;Back;Dos
7a0c2eb6-1d96-4a19-ac27-57051a94417b;Shoulders;Épaules
7b038969-abe1-4b80-b26f-ad3eba1884a6;Back;Dos
7b908cbc-60e5-4fd9-ad36-162d664f9845;Back;Dos
7c969d76-e549-4ca7-9d4c-fa0c3cd26637;Arms;Bras
7d360077-d233-4642-a73f-b9b3578acc6a;Shoulders;Épaules
7d9125d5-e7ba-41c3-94e9-882949977d0d;Arms;Bras
7df82111-0858-4ae3-813c-5e8f112396ac;Shoulders;Épaules
7eaa5bae-1ebb-4034-87ef-ac86022d0577;Arms;Bras
7eb64fc7-6793-4613-95fa-817c1ecaac48;Full body;Corps complet
7ebfc1df-1a9b-4b55-a91a-3ba02734982c;Arms;Bras
7f95deb6-f91f-4c0e-999e-3af919807347;Legs;Jambes
7ffaf610-809f-416b-b7e0-cabdee270a4d;Back;Dos
80bc80cb-b123-4dbc-9c8a-8894c99b969e;Shoulders;Épaules
